strategy,match_number,event_start_time,event_title,actual_outcome,selection_outcome,selection,bet_placed,pnl,cumulative_pnl
NO lowest Elo probability,31,2026-06-20T00:30:00Z,Brazil vs. Haiti,team1_win,team2_win,NO Haiti,True,4.3693049874032,-207.19683808471598
NO lowest Elo probability,32,2026-06-20T03:00:00Z,Türkiye vs. Paraguay,team1_win,draw,NO Draw,True,39.9199347040305,-167.27690338068547
NO lowest Elo probability,33,2026-06-20T17:00:00Z,Netherlands vs. Sweden,team1_win,team2_win,NO Sweden,True,24.95227517267713,-142.32462820800833
NO lowest Elo probability,34,2026-06-20T20:00:00Z,Germany vs. Côte d'Ivoire,team1_win,team2_win,NO Côte d'Ivoire,True,16.59541391371937,-125.72921429428898
NO lowest Elo probability,35,2026-06-21T00:00:00Z,Ecuador vs. Curaçao,draw,team2_win,NO Curaçao,True,5.380555531161901,-120.34865876312708
NO lowest Elo probability,36,2026-06-21T04:00:00Z,Tunisia vs. Japan,team1_win,team1_win,NO Tunisia,True,-100.0,-220.34865876312708
NO lowest Elo probability,37,2026-06-21T16:00:00Z,Spain vs. Saudi Arabia,team1_win,team2_win,NO Saudi Arabia,True,3.8566893083865628,-216.4919694547405
NO lowest Elo probability,38,2026-06-21T19:00:00Z,Belgium vs. IR Iran,draw,team2_win,NO IR Iran,True,13.203987295996988,-203.28798215874352
NO lowest Elo probability,39,2026-06-21T22:00:00Z,Uruguay vs. Cabo Verde,draw,team2_win,NO Cabo Verde,True,10.967264656926211,-192.3207175018173
NO lowest Elo probability,40,2026-06-22T01:00:00Z,New Zealand vs. Egypt,team1_win,team1_win,NO New Zealand,True,-100.0,-292.3207175018173
NO lowest Elo probability,41,2026-06-22T17:00:00Z,Argentina vs. Austria,team1_win,team2_win,NO Austria,True,12.82437006393382,-279.4963474378835
NO lowest Elo probability,42,2026-06-22T21:00:00Z,France vs. Iraq,team1_win,team2_win,NO Iraq,True,2.616141519060955,-276.8802059188225
NO lowest Elo probability,43,2026-06-23T00:00:00Z,Norway vs. Senegal,team1_win,draw,NO Draw,True,39.54570121714862,-237.33450470167392
NO lowest Elo probability,44,2026-06-23T03:00:00Z,Jordan vs. Algeria,team1_win,draw,NO Draw,True,28.852142166863494,-208.48236253481042
NO lowest Elo probability,45,2026-06-23T17:00:00Z,Portugal vs. Uzbekistan,team1_win,team2_win,NO Uzbekistan,True,4.712041884816753,-203.77032064999366
NO lowest Elo probability,46,2026-06-23T20:00:00Z,England vs. Ghana,draw,team2_win,NO Ghana,True,5.658605306409936,-198.11171534358374
NO lowest Elo probability,47,2026-06-23T23:00:00Z,Panama vs. Croatia,team1_win,team1_win,NO Panama,True,-100.0,-298.11171534358374
